Manager Receipt Time,Category Outcome,Source Port,Destination Port,Bytes In,Bytes Out,Transport Protocol,Attacker Address,Target Address,Category Object
"Oct 23, 2019 12:00:52 AM",/Success,123,123,148,148,UDP,10.240.132.101,10.5.1.26,/Host/Application/Service
"Oct 23, 2019 12:00:53 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.44.131,/Host/Application/Service
"Oct 23, 2019 12:00:53 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.207.126,/Host/Application/Service
"Oct 23, 2019 12:00:53 AM",/Success,123,123,768,768,UDP,192.168.242.239,10.240.38.21,/Host/Application/Service
"Oct 23, 2019 12:00:53 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.11.186,/Host/Application/Service
"Oct 23, 2019 12:00:53 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.207.159,/Host/Application/Service
"Oct 23, 2019 12:00:53 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.4.161,/Host/Application/Service
"Oct 23, 2019 12:01:01 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.11.101,/Host/Application/Service
"Oct 23, 2019 12:01:01 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.11.41,/Host/Application/Service
"Oct 23, 2019 12:01:01 AM",/Failure,137,137,0,0,UDP,10.244.190.81,10.240.34.220,/Host/Application/Service
"Oct 23, 2019 12:01:01 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.203.204,/Host/Application/Service
"Oct 23, 2019 12:01:01 AM",/Failure,137,137,0,0,UDP,10.244.190.81,10.240.34.220,/Host/Application/Service
"Oct 23, 2019 12:01:01 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.3.166,/Host/Application/Service
"Oct 23, 2019 12:01:01 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.173.112,/Host/Application/Service
"Oct 23, 2019 12:01:09 AM",/Failure,137,137,0,0,UDP,10.244.190.81,10.240.34.220,/Host/Application/Service
"Oct 23, 2019 12:01:09 AM",/Attempt,500,500,,,,10.244.34.1,41.65.3.98,/Host/Application/Service
"Oct 23, 2019 12:01:14 AM",/Success,123,123,768,768,UDP,192.168.242.97,10.240.138.21,/Host/Application/Service
"Oct 23, 2019 12:00:36 AM",/Attempt,500,500,,,,10.244.34.1,41.65.3.98,/Host/Application/Service
"Oct 23, 2019 12:01:16 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.27.155,/Host/Application/Service
"Oct 23, 2019 12:01:16 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.203.252,/Host/Application/Service
"Oct 23, 2019 12:01:16 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.203.103,/Host/Application/Service
"Oct 23, 2019 12:01:16 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.25.72,/Host/Application/Service
"Oct 23, 2019 12:01:17 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.162.120,/Host/Application/Service
"Oct 23, 2019 12:01:20 AM",/Attempt,500,500,,,,151.253.110.132,10.244.222.1,/Host/Resource
"Oct 23, 2019 12:01:20 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:01:20 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:01:20 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:01:20 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:01:20 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:01:24 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.3.6,/Host/Application/Service
"Oct 23, 2019 12:01:24 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.28.234,/Host/Application/Service
"Oct 23, 2019 12:01:24 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.19.160,/Host/Application/Service
"Oct 23, 2019 12:01:24 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.201.122,/Host/Application/Service
"Oct 23, 2019 12:01:32 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.19.207,/Host/Application/Service
"Oct 23, 2019 12:01:32 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.9.49,/Host/Application/Service
"Oct 23, 2019 12:01:32 AM",/Success,123,123,768,768,UDP,192.168.242.105,10.240.38.21,/Host/Application/Service
"Oct 23, 2019 12:01:32 AM",/Success,123,123,768,768,UDP,192.168.242.240,10.240.138.21,/Host/Application/Service
"Oct 23, 2019 12:01:32 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.33.226,/Host/Application/Service
"Oct 23, 2019 12:01:39 AM",/Attempt,500,500,,,,10.244.34.1,41.65.3.98,/Host/Application/Service
"Oct 23, 2019 12:01:39 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.36.34,/Host/Application/Service
"Oct 23, 2019 12:01:40 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.205.116,/Host/Application/Service
"Oct 23, 2019 12:01:40 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.169.111,/Host/Application/Service
"Oct 23, 2019 12:01:26 AM",/Success,123,123,768,768,UDP,192.168.242.101,10.240.138.21,/Host/Application/Service
"Oct 23, 2019 12:01:44 AM",/Success,123,123,768,768,UDP,192.168.242.111,10.240.38.21,/Host/Application/Service
"Oct 23, 2019 12:01:45 AM",,500,500,,,,195.229.136.132,10.244.100.1,
"Oct 23, 2019 12:01:45 AM",,500,500,29516390,0,,151.253.110.132,10.244.100.1,
"Oct 23, 2019 12:01:45 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.201.224,/Host/Application/Service
"Oct 23, 2019 12:01:46 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.203.62,/Host/Application/Service
"Oct 23, 2019 12:01:47 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.2.171,/Host/Application/Service
"Oct 23, 2019 12:01:47 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.28.124,/Host/Application/Service
"Oct 23, 2019 12:01:47 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.241.204.156,/Host/Application/Service
"Oct 23, 2019 12:01:50 AM",/Attempt,500,500,,,,151.253.110.132,10.244.222.1,/Host/Resource
"Oct 23, 2019 12:01:50 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:01:50 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:01:50 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:01:50 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:01:50 AM",,500,500,,,,151.253.110.132,10.244.222.1,
"Oct 23, 2019 12:02:02 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.2.181,/Host/Application/Service
"Oct 23, 2019 12:02:03 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.30.209,/Host/Application/Service
"Oct 23, 2019 12:02:34 AM",/Success,137,137,0,234,UDP,10.220.50.36,10.240.201.112,/Host/Application/Service
